question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
401,MCQ,Familial hypertriglyceridemia with lipemic serum (milky/cloudy appearance). What is the underlying enzymatic defect?,Lipoprotein lipase deficiency,Hepatic lipase deficiency,ApoB-100 deficiency,Lecithin-cholesterol acyltransferase deficiency,,,A,A — Lipoprotein lipase deficiency,Lipoprotein lipase deficiency leads to accumulation of triglyceride-rich particles and the classic lipemic serum appearance.,Lipoprotein lipase deficiency leads to accumulation of triglyceride-rich particles and the classic lipemic serum appearance.,"Correct answer: A — Lipoprotein lipase deficiency. Lipoprotein lipase deficiency leads to accumulation of triglyceride-rich particles and the classic lipemic serum appearance. In lipid questions, link the biochemical abnormality to the lipoprotein pathway and the classic clinical or laboratory pattern. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Lipid disorders
402,MCQ,"Obese man with uncontrolled hypertension, daytime fatigue, morning headaches, and unrefreshing sleep. What is the next best step?",Start a weight-loss program and follow up in 3 months,Add a beta-blocker,Perform polysomnography (sleep study),Refer to neurology for fatigue,,,C,C — Perform polysomnography (sleep study),The presentation strongly suggests obstructive sleep apnea; polysomnography is the diagnostic gold standard.,The presentation strongly suggests obstructive sleep apnea; polysomnography is the diagnostic gold standard.,"Correct answer: C — Perform polysomnography (sleep study). The presentation strongly suggests obstructive sleep apnea; polysomnography is the diagnostic gold standard. In sleep-medicine questions, pick the test or treatment that directly addresses the most likely syndrome suggested by the history. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Sleep medicine
403,MCQ,Patient on a tricyclic antidepressant and amlodipine has persistent hypertension with dry mouth and dizziness. What is the next best step?,Increase amlodipine dose,Add a beta-blocker,Discontinue the TCA and reassess blood pressure,Add a diuretic,,,C,C — Discontinue the TCA and reassess blood pressure,"TCAs can worsen hypertension through anticholinergic and norepinephrine-reuptake effects, so they should be addressed first.","TCAs can worsen hypertension through anticholinergic and norepinephrine-reuptake effects, so they should be addressed first.","Correct answer: C — Discontinue the TCA and reassess blood pressure. TCAs can worsen hypertension through anticholinergic and norepinephrine-reuptake effects, so they should be addressed first. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Hypertension
404,MCQ,Atrial fibrillation patient on amiodarone has progressive blurred vision and bilateral corneal microdeposits. Most likely cause?,Amiodarone-induced corneal microdeposits,Diabetic retinopathy,Age-related cataracts,Retinal detachment,,,A,A — Amiodarone-induced corneal microdeposits,Amiodarone commonly causes corneal microdeposits that can produce visual blur or halos.,Amiodarone commonly causes corneal microdeposits that can produce visual blur or halos.,"Correct answer: A — Amiodarone-induced corneal microdeposits. Amiodarone commonly causes corneal microdeposits that can produce visual blur or halos. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pharmacology
405,MCQ,Heart-failure patient on furosemide develops worsening edema after starting ibuprofen. Why should furosemide not be used concomitantly with NSAIDs?,NSAIDs enhance the diuretic effect of furosemide,Furosemide increases GI bleeding risk with NSAIDs,NSAIDs counteract the diuretic effect of furosemide,NSAIDs increase the risk of ototoxicity with furosemide,,,C,C — NSAIDs counteract the diuretic effect of furosemide,"NSAIDs reduce prostaglandin-mediated renal perfusion and sodium excretion, blunting loop-diuretic efficacy.","NSAIDs reduce prostaglandin-mediated renal perfusion and sodium excretion, blunting loop-diuretic efficacy.","Correct answer: C — NSAIDs counteract the diuretic effect of furosemide. NSAIDs reduce prostaglandin-mediated renal perfusion and sodium excretion, blunting loop-diuretic efficacy. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart failure
406,MCQ,Peripheral eosinophilia and lung biopsy with eosinophilic infiltration consistent with Löffler syndrome. Which finding best characterizes it?,Lung fibrosis with lymphocytic infiltration,Transient pulmonary infiltrates with eosinophilic infiltration,Necrotizing granulomas with giant cells,Alveolar hemorrhage with hemosiderin-laden macrophages,,,B,B — Transient pulmonary infiltrates with eosinophilic infiltration,Löffler syndrome is classically defined by transient pulmonary infiltrates with eosinophilia.,Löffler syndrome is classically defined by transient pulmonary infiltrates with eosinophilia.,"Correct answer: B — Transient pulmonary infiltrates with eosinophilic infiltration. Löffler syndrome is classically defined by transient pulmonary infiltrates with eosinophilia. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Pulmonology
407,MCQ,Peripheral eosinophilia and endomyocardial biopsy showing eosinophilic infiltration of the myocardium. Which condition is this?,Myocardial fibrosis with lymphocytic infiltration,Eosinophilic myocarditis with myocardial infiltration,Necrotizing granulomas with myocardial involvement,Myocardial hemorrhage with hemosiderin-laden macrophages,,,B,B — Eosinophilic myocarditis with myocardial infiltration,Eosinophilic myocarditis is characterized by eosinophilic infiltration of the myocardium and can occur with hypereosinophilic states.,Eosinophilic myocarditis is characterized by eosinophilic infiltration of the myocardium and can occur with hypereosinophilic states.,"Correct answer: B — Eosinophilic myocarditis with myocardial infiltration. Eosinophilic myocarditis is characterized by eosinophilic infiltration of the myocardium and can occur with hypereosinophilic states. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Myocarditis
408,MCQ,Acute chest pain with ST elevation in I and aVL and reciprocal inferior ST depression. Most likely infarct-related artery?,Right coronary artery,Diagonal branch of LAD,Left circumflex artery,Posterior descending artery,,,B,B — Diagonal branch of LAD,"ST elevation in I and aVL localizes to the high lateral wall, commonly supplied by a diagonal branch.","ST elevation in I and aVL localizes to the high lateral wall, commonly supplied by a diagonal branch.","Correct answer: B — Diagonal branch of LAD. ST elevation in I and aVL localizes to the high lateral wall, commonly supplied by a diagonal branch. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",ACS/ECG
409,MCQ,"Polymorphic VT (torsades de pointes) after prolonged QT due to suspected TCA overdose, unresponsive to lidocaine. Next best treatment?",Intravenous magnesium sulfate,Amiodarone,Sodium bicarbonate,Intravenous calcium gluconate,,,A,A — Intravenous magnesium sulfate,IV magnesium sulfate is the treatment of choice for torsades de pointes associated with QT prolongation.,IV magnesium sulfate is the treatment of choice for torsades de pointes associated with QT prolongation.,"Correct answer: A — Intravenous magnesium sulfate. IV magnesium sulfate is the treatment of choice for torsades de pointes associated with QT prolongation. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Arrhythmia
410,MCQ,"Atrial fibrillation patient on digoxin has abdominal pain, frequent PVCs, digoxin level 2.2 ng/mL, and potassium 6.2 mmol/L. Most appropriate treatment?",Intravenous lidocaine,Immediate DC cardioversion,Digoxin-specific Fab fragments,Amiodarone infusion,,,C,C — Digoxin-specific Fab fragments,Severe digoxin toxicity with hyperkalemia should be treated with digoxin-specific Fab fragments.,Severe digoxin toxicity with hyperkalemia should be treated with digoxin-specific Fab fragments.,"Correct answer: C — Digoxin-specific Fab fragments. Severe digoxin toxicity with hyperkalemia should be treated with digoxin-specific Fab fragments. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Toxicology
