index,question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,topic
0,1,single,A 45-year-old asymptomatic man completes 14 minutes on a Bruce protocol. He has no angina and no ST-segment deviation. What is his Duke treadmill score?,9,14,2,3.4,,B,Duke treadmill score = exercise time - 5 x ST deviation - 4 x angina index = 14.,Stress Testing
1,2,single,A pregnant woman is found to have a rough systolic murmur best heard at the second left intercostal space with a palpable thrill and suprasternal notch radiation. What is the most likely diagnosis?,Physiologic flow murmur of pregnancy,Pulmonary stenosis,Mammary souffle,Mitral valve prolapse,Aortic stenosis,B,A thrill and suprasternal notch transmission indicate a pathologic murmur most consistent with pulmonary stenosis.,Pregnancy
2,3,single,An older patient on long-term amiodarone presents with progressive dyspnea. CT chest suggests interstitial fibrosis and pulmonary function tests show a restrictive pattern. What is the most likely diagnosis?,Amiodarone pulmonary toxicity,Idiopathic pulmonary fibrosis,Pulmonary embolism,COPD exacerbation,Sarcoidosis,A,Amiodarone can cause interstitial pneumonitis and fibrosis with restrictive PFTs.,Pharmacology
3,4,single,A patient develops major gastrointestinal bleeding after receiving alteplase for acute myocardial infarction. Which drug is most appropriate to counter the fibrinolytic effect?,Protamine sulfate,Vitamin K,Aminocaproic acid,Idarucizumab,Fresh frozen plasma,C,Aminocaproic acid is an antifibrinolytic used for severe bleeding after thrombolysis.,Pharmacology
4,5,single,A young patient develops dyspnea and signs of dilated cardiomyopathy after an upper respiratory tract infection. Which organism is classically associated with this presentation?,Staphylococcus aureus,Coxsackie B virus,Mycoplasma pneumoniae,Streptococcus pyogenes,Influenza A,B,Viral myocarditis leading to DCM is classically linked to Coxsackie B virus.,Myocarditis
5,6,single,A patient has yellow eruptive papules over the extensor surfaces. What lipid abnormality is most likely present?,Isolated low HDL,Severe hypertriglyceridemia,Elevated lipoprotein a,Familial hypercholesterolemia,Low LDL,B,Eruptive xanthomas are classic for severe hypertriglyceridemia.,Lipids
6,7,single,Tetralogy of Fallot is classically associated with which vascular anomaly?,Left-sided aortic arch,Interrupted aortic arch,Right-sided aortic arch,Double aortic arch,Aberrant right subclavian artery,C,Tetralogy of Fallot is commonly associated with a right-sided aortic arch.,Congenital
7,8,single,A patient with ischemic heart disease has a holosystolic murmur at the apex and an S3 gallop. What hemodynamic state is most likely present?,Pressure overload,Volume overload,Tamponade physiology,Fixed obstruction,High-output state,B,Ischemic mitral regurgitation causes LV volume overload and may produce an S3.,Valvular
8,9,single,On low-dose dobutamine stress echocardiography a dysfunctional myocardial segment first improves and then worsens at higher doses. What does this biphasic response indicate?,Scar tissue only,Normal myocardium,Viable ischemic myocardium,Pericardial disease,Artifact,C,A biphasic response indicates viable myocardium with inducible ischemia.,Viability
9,10,single,A young adult has exertional syncope. Echocardiography shows increased interventricular septal thickness and a high LVOT gradient. What is the most likely diagnosis?,Dilated cardiomyopathy,Restrictive cardiomyopathy,Hypertrophic obstructive cardiomyopathy,Aortic stenosis,Athlete heart,C,Increased septal thickness with dynamic LVOT obstruction indicates HOCM.,Cardiomyopathy
10,11,single,Platelet aggregation depends on which final common receptor pathway?,Glycoprotein Ib,P2Y12 receptor,Glycoprotein IIb/IIIa,Thromboxane A2 receptor,PAR-1 receptor,C,The GP IIb/IIIa receptor binds fibrinogen and mediates platelet aggregation.,Hematology
11,12,single,For internal jugular venous cannulation the usual needle entry point is located where?,At the suprasternal notch,Between the two heads of sternocleidomastoid,At the mid clavicle,Lateral to the acromion,Over the carotid bifurcation,B,The IJV is commonly accessed at the apex of the triangle between the two SCM heads.,Procedure
12,13,single,A patient with chest pain has negative cardiac enzymes and high QRS voltage on ECG. Echo shows a spade-shaped left ventricular cavity in the apical view. What is the diagnosis?,Apical hypertrophic cardiomyopathy,Dilated cardiomyopathy,Left ventricular noncompaction,Endomyocardial fibrosis,Takotsubo cardiomyopathy,A,A spade-shaped LV cavity is classic for apical HCM.,Cardiomyopathy
13,14,single,Failure of the aorticopulmonary septum to spiral properly results in which congenital lesion?,Persistent truncus arteriosus,Transposition of the great arteries,Tetralogy of Fallot,Tricuspid atresia,Pulmonary atresia,B,Failure of spiral septation causes transposition of the great arteries.,Congenital
14,15,single,A patient has exertional dyspnea and a harsh late-peaking systolic murmur radiating to the carotids with a soft single S2. What is the most likely diagnosis?,Mitral regurgitation,Aortic stenosis,Pulmonary stenosis,HOCM,Atrial septal defect,B,A harsh late-peaking systolic murmur with carotid radiation is classic for AS.,Valvular
15,16,single,A patient has a high-pitched early diastolic murmur best heard along the left sternal border and louder when sitting up and leaning forward. What is the diagnosis?,Mitral stenosis,Pulmonary regurgitation,Aortic regurgitation,Tricuspid regurgitation,VSD,C,This is the classic description of aortic regurgitation.,Valvular
16,17,single,In classic mitral valve prolapse what happens to the click and murmur when the patient stands?,Click moves later and murmur shortens,Click moves earlier and murmur lengthens,No change occurs,Murmur disappears,S2 becomes fixed split,B,Standing decreases LV volume so the MVP click occurs earlier and the murmur becomes longer.,Valvular
17,18,single,A low-frequency sound heard just after S2 at the apex with the bell is most consistent with which finding?,S4 gallop,Opening snap,Pericardial knock,S3 gallop,Tumor plop,D,An S3 is a low-frequency early diastolic sound heard best at the apex.,Heart Sounds
18,19,single,A middle-aged woman collapses during exercise and has a family history of sudden cardiac death. What is the most likely immediate mechanism?,Atrial flutter,Ventricular arrhythmia,Sinus bradycardia,Pericarditis,Pulmonary edema only,B,Exercise-related collapse with a family history of SCD strongly suggests malignant ventricular arrhythmia.,Arrhythmia
19,20,single,A patient with atrial fibrillation has an eGFR of 20 mL per minute and a history of GI bleeding. Which anticoagulation strategy is most appropriate among the following options?,Rivaroxaban full dose,Dabigatran,Warfarin with careful INR monitoring,No anticoagulation ever,Aspirin alone,C,Warfarin is commonly preferred in advanced CKD where DOAC use is limited.,Anticoagulation
20,21,single,A patient with inferior MI develops hypotension and raised JVP with relatively clear lungs. What is the most likely diagnosis?,Left main coronary occlusion,Cardiac tamponade,Right ventricular infarction,Papillary muscle rupture,Massive PE,C,Hypotension plus elevated JVP and clear lungs after inferior MI suggests RV infarction.,ACS
21,22,single,A patient with 3 weeks of fever weight loss splinter hemorrhages a diastolic murmur and a bicuspid aortic valve most likely has which complication?,Pulmonary valve perforation,Aortic root abscess,Left atrial thrombus,RV aneurysm,Cor triatriatum,B,Bicuspid aortic valve endocarditis can extend to cause an aortic root abscess.,Endocarditis
22,23,single,Why may transesophageal echocardiography fail to fully define a prosthetic aortic root abscess?,Poor color Doppler settings,Acoustic shadowing from prosthetic material,Low blood pressure,Right bundle branch block,Obesity only,B,Prosthetic material can create acoustic shadowing and hide periannular abscess extension.,Endocarditis
23,24,single,Which of the following is a major indication for early surgery in infective endocarditis?,Low-grade fever alone,Aortic root abscess,Small vegetation with rapid response,Single positive culture only,Mild anemia,B,Periannular abscess is a strong indication for surgery in IE.,Endocarditis
24,25,single,A 30-year-old pregnant woman with known pulmonary hypertension on sildenafil presents with severe dyspnea fatigue chest tightness cold extremities raised JVP and non-audible blood pressure. What is the most complete diagnosis?,Acute asthma exacerbation,Pulmonary embolism without shock,Decompensated right heart failure with cardiogenic shock due to severe pulmonary hypertension in pregnancy,Isolated left heart failure,Septic shock from pneumonia,C,The stem describes severe PH in pregnancy causing RV failure and shock.,Pulmonary Hypertension
25,26,single,What is the key pathophysiologic reason severe pulmonary hypertension can decompensate during pregnancy?,Pregnancy lowers preload to the RV,The RV cannot handle increased preload and afterload leading to reduced LV filling and low cardiac output,Systemic resistance rises markedly in normal pregnancy,Placental shunting eliminates venous return,Pulmonary vascular resistance always falls to normal,B,Pregnancy increases blood volume and cardiac output which can overwhelm a pressure-loaded RV.,Pulmonary Hypertension
26,27,single,Which murmur typically becomes louder with the Valsalva maneuver?,Aortic stenosis,Mitral regurgitation,Hypertrophic obstructive cardiomyopathy,Tricuspid stenosis,VSD,C,Valsalva reduces preload and intensifies the dynamic murmur of HOCM.,Physical Exam
27,28,single,Which valvular lesion classically has an earlier click and longer murmur with standing?,Aortic stenosis,Mitral valve prolapse,Aortic regurgitation,Mitral stenosis,Tricuspid regurgitation,B,Standing reduces LV volume and accentuates MVP findings.,Physical Exam
28,29,single,What usually happens to the HOCM murmur when the patient squats?,It becomes louder,It softens,It turns into a diastolic murmur,It disappears permanently,No change occurs,B,Squatting increases preload and afterload which reduces dynamic LVOT obstruction.,Physical Exam
29,30,single,Which physical finding is more typical of chronic severe aortic regurgitation than acute severe aortic regurgitation?,Premature mitral valve closure,Narrow pulse pressure,Wide pulse pressure,Soft short diastolic murmur only,Cardiogenic shock,C,Wide pulse pressure is a classic feature of chronic severe AR and may be absent in acute AR.,Valvular
30,31,single,A Duke treadmill score greater than which value is generally considered low risk?,Minus 11,0,Plus 5,Plus 1,Plus 3,C,A Duke treadmill score above 5 indicates low risk.,Stress Testing
