question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
101,single,An 8-year-old girl with a systolic murmur on the left parasternal area presents with unequal pulses between upper limbs and a delayed pulse peak between the right upper and lower limbs. What is the most probable diagnosis?,Aortic coarctation,Patent ductus arteriosus,Peripheral arterial disease,Severe valvular aortic stenosis,Severe aortic regurgitation,,A,A — Aortic coarctation,"Aortic coarctation, usually near the left subclavian artery, reduces blood floy to the lower extremities, causing delayed femoral pulses. It may also affect the left subclavian artery, leading to unequal upper limb pulses. A systolic murmur arises from turbulent flow or associated anomalies like a bicuspid aortic valve.","Aortic coarctation, usually near the left subclavian artery, reduces blood flow to the lower extremities, causing delayed femoral pulses. It may also affect the left subclavian artery, leading to unequal upper limb pulses. A systolic murmur arises from turbulent flow or associated anomalies like a bicuspid aortic valve.","Correct answer: A — Aortic coarctation. Aortic coarctation, usually near the left subclavian artery, reduces blood flow to the lower extremities, causing delayed femoral pulses. It may also affect the left subclavian artery, leading to unequal upper limb pulses. A systolic murmur arises from turbulent flow or associated anomalies like a bicuspid aortic valve. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Congenital
102,single,A 19-year-old man with congenital heart disease develops cyanosis in the lower limbs without cyanosis in the upper limbs. What is the underlying condition?,Hypertensive PDA,Hypertensive VSD,Large PDA,Large VSD,Transposition of the great arteries with PDA,,A,A — Hypertensive PDA,"In hypertensive PDA, pulmonary hypertension causes @ right-to-left shunt through the ductus arteriosus (located distal to the left subclavian artery), resulting in cyanosis confined to the lower limbs (differential cyanosis).","In hypertensive PDA, pulmonary hypertension causes a right-to-left shunt through the ductus arteriosus (located distal to the left subclavian artery), resulting in cyanosis confined to the lower limbs (differential cyanosis).","Correct answer: A — Hypertensive PDA. In hypertensive PDA, pulmonary hypertension causes a right-to-left shunt through the ductus arteriosus (located distal to the left subclavian artery), resulting in cyanosis confined to the lower limbs (differential cyanosis). In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Congenital
103,single,A 3-year-old child with a chest infection has a continuous machinery murmur peaking around S2. What is the possible diagnosis?,Aortic stenosis & aortic regurgitation,Mitral stenosis & mitral regurgitation,PDA,Tricuspid stenosis & tricuspid regurgitation,VSD,,C,C — PDA,"A PDA isa persistent aortic-pulmonary connection that causes continuous blood flow from the aorta to the pulmonary artery, creating a ""machinery"" murmur toudes at the left infraclavicular region, peaking around S2 due to the maximal pressure gradiet®","A PDA isa persistent aortic-pulmonary connection that causes continuous blood flow from the aorta to the pulmonary artery, creating a ""machinery"" murmur toudes at the left infraclavicular region, peaking around S2 due to the maximal pressure gradiet®","Correct answer: C — PDA. A PDA isa persistent aortic-pulmonary connection that causes continuous blood flow from the aorta to the pulmonary artery, creating a ""machinery"" murmur toudes at the left infraclavicular region, peaking around S2 due to the maximal pressure gradiet®. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Congenital
104,single,"A56-year-old man presents with severe chest pain and recent inferior MI. On examination, JVP fills on inspiration. What is the likely cause?",Acute mitral regurgitation,Acute tricuspid regurgitation,Ischemic VSD,Inferior vena cava obstruction,Right ventricular infarction,,E,E — Right ventricular infarction,"In inferior MI, RV infarction is common, especially with RCA involvement, and is marked by Kussmaul's sign “elevated JVP that rises on inspiration due to impaired right ventricular filling”.","In inferior MI, RV infarction is common, especially with RCA involvement, and is marked by Kussmaul's sign ""elevated JVP that rises on inspiration due to impaired right ventricular filling"".","Correct answer: E — Right ventricular infarction. In inferior MI, RV infarction is common, especially with RCA involvement, and is marked by Kussmaul's sign ""elevated JVP that rises on inspiration due to impaired right ventricular filling"". Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
105,single,What is the expected normal systolic BP response to deep inspiration?,Decrease by less than 10 mmHg,Decrease by more than 10 mmHg,Increase by less than 10 mmHg,Increase by more than 10 mmHg,Nochange,,A,A — Decrease by less than 10 mmHg,"Deep inspiration increases negative intrathoracic pressure, enhancing right heart venous return and reducing LV filling, causing a slight SBP drop (<10 mmHg). A greater drop (>10 mmHg), called pulsus paradoxus, occurs in conditions like cardiac tamponade or severe asthma.","Deep inspiration increases negative intrathoracic pressure, enhancing right heart venous return and reducing LV filling, causing a slight SBP drop (<10 mmHg). A greater drop (>10 mmHg), called pulsus paradoxus, occurs in conditions like cardiac tamponade or severe asthma.","Correct answer: A — Decrease by less than 10 mmHg. Deep inspiration increases negative intrathoracic pressure, enhancing right heart venous return and reducing LV filling, causing a slight SBP drop (<10 mmHg). A greater drop (>10 mmHg), called pulsus paradoxus, occurs in conditions like cardiac tamponade or severe asthma. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
106,single,A54-year-old man with severe dyspnea has a pulse alternating between weak and normal volume. What is the expected cause?,Acute aortic regurgitation,Acute mitral regurgitation,Hypertrophic cardiomyopathy,Severe heart failure,Severe hypertension,,D,D — Severe heart failure,"Pulsus alternans, characterized by alternating strong and weak pulse amplitudes, is a hallmark of severe LV dysfunction due to an inability to maintain consistent contraction strength.","Pulsus alternans, characterized by alternating strong and weak pulse amplitudes, is a hallmark of severe LV dysfunction due to an inability to maintain consistent contraction strength.","Correct answer: D — Severe heart failure. Pulsus alternans, characterized by alternating strong and weak pulse amplitudes, is a hallmark of severe LV dysfunction due to an inability to maintain consistent contraction strength. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
107,single,A21-year-old man has a weak pulse with delayed peak. What is the suggested cause?,Aortic regurgitation,Aortic stenosis.,Aortic stenosis & aortic regurgitation,Cardiac tamponade,Mitral regurgitation,,B,B — Aortic stenosis.,"A weak pulse with a delayed peak (known as pulsus parvus et tardus) is a classic finding in severe aortic stenosis. It reflects reduced stroke volume (weak pulse) and prolonged left ventricular ejection time (delayed peak), due to the obstruction of blood flow through the narrowed aortic valve,","A weak pulse with a delayed peak (known as pulsus parvus et tardus) is a classic finding in severe aortic stenosis. It reflects reduced stroke volume (weak pulse) and prolonged left ventricular ejection time (delayed peak), due to the obstruction of blood flow through the narrowed aortic valve,","Correct answer: B — Aortic stenosis.. A weak pulse with a delayed peak (known as pulsus parvus et tardus) is a classic finding in severe aortic stenosis. It reflects reduced stroke volume (weak pulse) and prolonged left ventricular ejection time (delayed peak), due to the obstruction of blood flow through the narrowed aortic valve,. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
108,single,What does normal splitting of S2 mean?,A2-P2 interval increases with inspiration and narrows with expiration,A2-P2 interval narrows with inspiration and increases with expiration,A2-P2 interval increases with inspiration and shows no change with expiration,A2-P2 interval increases with both inspiration and expiration,A2-P2 interval shows no change with respiration d,,A,A — A2-P2 interval increases with inspiration and narrows with expiration,"Normal splitting of S2 means the A2-P2 interval increases with inspiration due to delayed pulmonary valve closure from increased right heart filling and earlier aortic valve closure from reduced left heart filling. During expiration, the interval Narrows as both valves close closer together, reflecting normal respiratory variation.","Normal splitting of S2 means the A2-P2 interval increases with inspiration due to delayed pulmonary valve closure from increased right heart filling and earlier aortic valve closure from reduced left heart filling. During expiration, the interval Narrows as both valves close closer together, reflecting normal respiratory variation.","Correct answer: A — A2-P2 interval increases with inspiration and narrows with expiration. Normal splitting of S2 means the A2-P2 interval increases with inspiration due to delayed pulmonary valve closure from increased right heart filling and earlier aortic valve closure from reduced left heart filling. During expiration, the interval Narrows as both valves close closer together, reflecting normal respiratory variation. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart Sounds
109,single,A 21-year-old female with mitral valve prolapse (MVP) is asked to stand upright during auscultation. What is the expected effect on the click and murmur?,"Decrease in intensity, no change in timing","Increase in intensity, no change in timing",Move toward S1,Move away from S1,No change in timing or intensity,,C,C — Move toward S1,,,"Correct answer: C — Move toward S1. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
110,single,A 21-year-old female with MVP is asked to squat during auscultation. What is the expected effect on the click and murmur?,"Decrease in intensity, no change in timing","Increase in intensity, no change in timing",Move toward S1,Move away from S1,No change in timing or intensity,,D,D — Move away from S1,,,"Correct answer: D — Move away from S1. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
